n | tempo_s
25 | 0.000013
50 | 0.000004
75 | 0.000030
100 | 0.000032
125 | 0.000120
150 | 0.000031
175 | 0.000027
200 | 0.000149
225 | 0.000098
250 | 0.000053
275 | 0.000530
300 | 0.000130
325 | 0.000047
350 | 0.000091
375 | 0.000049
400 | 0.000106
425 | 0.000125
450 | 0.000064
475 | 0.000082
500 | 0.000064
525 | 0.000064
550 | 0.000136
575 | 0.000404
600 | 0.000318
625 | 0.000293
650 | 0.000127
675 | 0.000158
700 | 0.000285
725 | 0.000295
750 | 0.000431
775 | 0.000189
800 | 0.000102
825 | 0.000123
850 | 0.000171
875 | 0.000091
900 | 0.000171
925 | 0.000826
950 | 0.000328
975 | 0.000261
1000 | 0.000242
