n | tempo_s
25 | 0.000044
50 | 0.000047
75 | 0.000065
100 | 0.000107
125 | 0.000124
150 | 0.000150
175 | 0.000188
200 | 0.000567
225 | 0.000326
250 | 0.000274
275 | 0.000598
300 | 0.000473
325 | 0.000374
350 | 0.000836
375 | 0.000991
400 | 0.000463
425 | 0.000543
450 | 0.000972
475 | 0.001379
500 | 0.001552
525 | 0.001268
550 | 0.001397
575 | 0.001307
600 | 0.002008
625 | 0.001562
650 | 0.001247
675 | 0.001484
700 | 0.001331
725 | 0.001567
750 | 0.001453
775 | 0.001337
800 | 0.001708
825 | 0.002493
850 | 0.001902
875 | 0.001612
900 | 0.002148
925 | 0.001512
950 | 0.002010
975 | 0.001956
1000 | 0.001850
